country,total
country_not_found,2712
Peru,798
United States of America,388
Brazil,282
Canada,178
Argentina,92
China,84
Bolivia (Plurinational State of),71
Philippines,51
Ecuador,40
Chile,30
Russian Federation,27
Japan,23
Mexico,20
"Korea, Republic of",13
Indonesia,13
Viet Nam,11
Paraguay,9
Sweden,7
Kazakhstan,6
Costa Rica,6
Ukraine,6
India,6
Venezuela (Bolivarian Republic of),5
France,5
Malaysia,5
Colombia,5
Germany,5
Uruguay,5
Pakistan,4
Mongolia,4
Italy,4
South Georgia and the South Sandwich Islands,3
Albania,3
Lebanon,3
Cabo Verde,3
Thailand,3
"Taiwan, Province of China",2
Romania,2
Spain,2
American Samoa,2
Poland,2
Trinidad and Tobago,2
Estonia,2
Singapore,2
United Kingdom of Great Britain and Northern Ireland,2
Jamaica,2
Hong Kong,2
Cambodia,2
Australia,2
Israel,1
Botswana,1
Ã…land Islands,1
New Zealand,1
Switzerland,1
Panama,1
Bosnia and Herzegovina,1
Kenya,1
Qatar,1
Heard Island and McDonald Islands,1
Holy See,1
Uzbekistan,1
Finland,1
Norway,1
Belarus,1
Mozambique,1
Honduras,1
Tuvalu,1
Turkey,1
Zimbabwe,1
United Arab Emirates,1
Belgium,1
Bahamas,1
Oman,1
Czechia,1
Lao People's Democratic Republic,1
Congo,1
Guatemala,1
Saudi Arabia,1
Nicaragua,1
El Salvador,1
Bhutan,1
Niger,1
Madagascar,1
Chad,1
Afghanistan,1
"Palestine, State of",1
Somalia,1
Dominican Republic,1
Austria,1
Puerto Rico,1
Jordan,1
Denmark,1
Antigua and Barbuda,1
Barbados,1
